11,Maud,Faria,1,statefarm
11,Maud,Faria,2,statefarm
11,Maud,Faria,3,statefarm
11,Maud,Faria,4,statefarm
17,Janeczka,Cath,5,statefarm
20,Ronna,Cleavland,5,statefarm
23,Madelle,Edison,1,statefarm
34,Ashlee,Klemperer,4,statefarm
42,Margarette,Tyson,1,statefarm
43,Rosanne,Ellerey,5,statefarm
49,Eolanda,Halsey,2,statefarm
53,Modestia,Yorick,5,statefarm
54,Dyann,Andrel,4,statefarm
62,Celisse,Aaberg,5,statefarm
64,Natka,Eliathas,1,statefarm
7,Nita,Anselmi,2,statefarm
72,Ginnie,Hourigan,4,statefarm
76,Laurene,Brian,2,statefarm
79,Gavrielle,Callista,5,statefarm
82,Layla,Ochs,5,statefarm
89,Barbara,Hermes,3,statefarm
